,Unnamed: 0,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,All Education Categories,00,15173808788,1399623,2004,Male,Indiana,10841.35
1,1,Less Than High School,00,1020704981,133832,2004,Male,Indiana,7626.76
2,2,High School Gradute,00,4031170194,420948,2004,Male,Indiana,9576.41
3,3,Some College,00,4269318069,370541,2004,Male,Indiana,11521.85
4,4,Advanced Degree,00,5056656093,280580,2004,Male,Indiana,18022.15
5,5,Unavalble,00,795959451,193722,2004,Male,Indiana,4108.77
6,6,All Education Categories,00,8755675815,1349205,2004,Female,Indiana,6489.51
7,7,Less Than High School,00,437241505,94374,2004,Female,Indiana,4633.07
8,8,High School Gradute,00,2190548239,383330,2004,Female,Indiana,5714.52
9,9,Some College,00,2744755896,394221,2004,Female,Indiana,6962.48
10,10,Advanced Degree,00,2745755636,267105,2004,Female,Indiana,10279.69
11,11,Unavalble,00,637374538,210175,2004,Female,Indiana,3032.59
12,60,All Education Categories,Manufacturing,5331554757,399113,2004,Male,Indiana,13358.51
13,61,Less Than High School,Manufacturing,398395572,40743,2004,Male,Indiana,9778.26
14,62,High School Gradute,Manufacturing,1683643373,143298,2004,Male,Indiana,11749.25
15,63,Some College,Manufacturing,1645722498,117313,2004,Male,Indiana,14028.48
16,64,Advanced Degree,Manufacturing,1394639419,67224,2004,Male,Indiana,20746.15
17,65,Unavalble,Manufacturing,209153895,30535,2004,Male,Indiana,6849.64
18,66,All Education Categories,Manufacturing,1570229018,173095,2004,Female,Indiana,9071.49
19,67,Less Than High School,Manufacturing,102148177,15379,2004,Female,Indiana,6642.06
20,68,High School Gradute,Manufacturing,521148574,66224,2004,Female,Indiana,7869.48
21,69,Some College,Manufacturing,499028710,52747,2004,Female,Indiana,9460.8
22,70,Advanced Degree,Manufacturing,377485406,26073,2004,Female,Indiana,14478.02
23,71,Unavalble,Manufacturing,70418151,12672,2004,Female,Indiana,5556.99
24,84,All Education Categories,Retail Trade,1071488636,154283,2004,Male,Indiana,6944.96
25,85,Less Than High School,Retail Trade,91331988,15487,2004,Male,Indiana,5897.33
26,86,High School Gradute,Retail Trade,343967679,46406,2004,Male,Indiana,7412.14
27,87,Some College,Retail Trade,302421428,34734,2004,Male,Indiana,8706.78
28,88,Advanced Degree,Retail Trade,208608856,17170,2004,Male,Indiana,12149.61
29,89,Unavalble,Retail Trade,125158685,40486,2004,Male,Indiana,3091.41
30,90,All Education Categories,Retail Trade,710866229,179996,2004,Female,Indiana,3949.34
31,91,Less Than High School,Retail Trade,60055466,16549,2004,Female,Indiana,3628.95
