,Unnamed: 0,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,900,All Education Categories,Educational Services,407024291,43274,2004,Male,Iowa,9405.75
1,901,Less Than High School,Educational Services,9622052,1817,2004,Male,Iowa,5295.57
2,902,High School Gradute,Educational Services,52543673,7766,2004,Male,Iowa,6765.86
3,903,Some College,Educational Services,86313634,10377,2004,Male,Iowa,8317.78
4,904,Advanced Degree,Educational Services,251260656,21181,2004,Male,Iowa,11862.55
5,905,Unavalble,Educational Services,7284276,2132,2004,Male,Iowa,3416.64
6,906,All Education Categories,Educational Services,598354797,92138,2004,Female,Iowa,6494.12
7,907,Less Than High School,Educational Services,8856674,2578,2004,Female,Iowa,3435.48
8,908,High School Gradute,Educational Services,89276858,19701,2004,Female,Iowa,4531.59
9,909,Some College,Educational Services,151595560,25773,2004,Female,Iowa,5881.95
10,910,Advanced Degree,Educational Services,330179724,38930,2004,Female,Iowa,8481.37
11,911,Unavalble,Educational Services,18445981,5158,2004,Female,Iowa,3576.19
12,996,All Education Categories,Accommodation,24428694,4892,2004,Male,Iowa,4993.6
13,997,Less Than High School,Accommodation,3061465,665,2004,Male,Iowa,4603.71
14,998,High School Gradute,Accommodation,7134001,1338,2004,Male,Iowa,5331.84
15,999,Some College,Accommodation,5773539,1002,2004,Male,Iowa,5762.01
16,1000,Advanced Degree,Accommodation,4732979,514,2004,Male,Iowa,9208.13
17,1001,Unavalble,Accommodation,3726710,1372,2004,Male,Iowa,2716.26
18,1002,All Education Categories,Accommodation,29626915,8895,2004,Female,Iowa,3330.74
19,1003,Less Than High School,Accommodation,3038808,1011,2004,Female,Iowa,3005.74
20,1004,High School Gradute,Accommodation,8699151,2535,2004,Female,Iowa,3431.62
21,1005,Some College,Accommodation,7960134,2063,2004,Female,Iowa,3858.52
22,1006,Advanced Degree,Accommodation,4232220,881,2004,Female,Iowa,4803.88
23,1007,Unavalble,Accommodation,5696604,2405,2004,Female,Iowa,2368.65
24,2052,All Education Categories,Educational Services,412560311,42627,2005,Male,Iowa,9678.38
25,2053,Less Than High School,Educational Services,9849768,1775,2005,Male,Iowa,5549.17
26,2054,High School Gradute,Educational Services,53495979,7705,2005,Male,Iowa,6943.02
27,2055,Some College,Educational Services,88322113,10361,2005,Male,Iowa,8524.48
28,2056,Advanced Degree,Educational Services,253753153,20861,2005,Male,Iowa,12164.0
29,2057,Unavalble,Educational Services,7139298,1925,2005,Male,Iowa,3708.73
30,2058,All Education Categories,Educational Services,612926040,91554,2005,Female,Iowa,6694.69
31,2059,Less Than High School,Educational Services,9227348,2618,2005,Female,Iowa,3524.58
32,2060,High School Gradute,Educational Services,91567590,19545,2005,Female,Iowa,4684.96
33,2061,Some College,Educational Services,157376195,25944,2005,Female,Iowa,6066.0
34,2062,Advanced Degree,Educational Services,335730573,38542,2005,Female,Iowa,8710.77
35,2063,Unavalble,Educational Services,19024334,4905,2005,Female,Iowa,3878.56
36,2148,All Education Categories,Accommodation,32846028,6042,2005,Male,Iowa,5436.28
37,2149,Less Than High School,Accommodation,4111666,824,2005,Male,Iowa,4989.89
38,2150,High School Gradute,Accommodation,10087968,1693,2005,Male,Iowa,5958.63
39,2151,Some College,Accommodation,8486145,1337,2005,Male,Iowa,6347.15
40,2152,Advanced Degree,Accommodation,5518154,654,2005,Male,Iowa,8437.54
41,2153,Unavalble,Accommodation,4642095,1533,2005,Male,Iowa,3028.11
42,2154,All Education Categories,Accommodation,39365048,10409,2005,Female,Iowa,3781.83
43,2155,Less Than High School,Accommodation,3943684,1185,2005,Female,Iowa,3328.0
44,2156,High School Gradute,Accommodation,11566961,3006,2005,Female,Iowa,3847.96
45,2157,Some College,Accommodation,11137103,2546,2005,Female,Iowa,4374.35
46,2158,Advanced Degree,Accommodation,6292348,1091,2005,Female,Iowa,5767.51
47,2159,Unavalble,Accommodation,6424953,2581,2005,Female,Iowa,2489.33
48,3216,All Education Categories,Educational Services,429041865,42791,2006,Male,Iowa,10026.45
49,3217,Less Than High School,Educational Services,10497000,1808,2006,Male,Iowa,5805.86
50,3218,High School Gradute,Educational Services,56848939,7820,2006,Male,Iowa,7269.69
51,3219,Some College,Educational Services,93324382,10475,2006,Male,Iowa,8909.25
52,3220,Advanced Degree,Educational Services,261179758,20778,2006,Male,Iowa,12570.01
53,3221,Unavalble,Educational Services,7191787,1909,2006,Male,Iowa,3767.31
54,3222,All Education Categories,Educational Services,654366973,93451,2006,Female,Iowa,7002.25
55,3223,Less Than High School,Educational Services,10238721,2685,2006,Female,Iowa,3813.3
56,3224,High School Gradute,Educational Services,98425890,19936,2006,Female,Iowa,4937.09
57,3225,Some College,Educational Services,170400975,26775,2006,Female,Iowa,6364.18
58,3226,Advanced Degree,Educational Services,355762856,39069,2006,Female,Iowa,9106.01
59,3227,Unavalble,Educational Services,19538530,4987,2006,Female,Iowa,3917.89
60,3312,All Education Categories,Accommodation,32893371,5982,2006,Male,Iowa,5498.72
61,3313,Less Than High School,Accommodation,4241189,810,2006,Male,Iowa,5236.04
62,3314,High School Gradute,Accommodation,10194737,1709,2006,Male,Iowa,5965.32
63,3315,Some College,Accommodation,8667749,1338,2006,Male,Iowa,6478.14
64,3316,Advanced Degree,Accommodation,5170458,658,2006,Male,Iowa,7857.84
65,3317,Unavalble,Accommodation,4619237,1466,2006,Male,Iowa,3150.91
66,3318,All Education Categories,Accommodation,41206680,10454,2006,Female,Iowa,3941.71
67,3319,Less Than High School,Accommodation,4247860,1193,2006,Female,Iowa,3560.65
68,3320,High School Gradute,Accommodation,12156323,2979,2006,Female,Iowa,4080.67
69,3321,Some College,Accommodation,11757949,2567,2006,Female,Iowa,4580.42
70,3322,Advanced Degree,Accommodation,6177747,1091,2006,Female,Iowa,5662.46
