,Unnamed: 0,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,2988,All Education Categories,"Colleges, Universities, and Professional Schools",290241400,16641,2004,Male,Louisiana,17441.34
1,2989,Less Than High School,"Colleges, Universities, and Professional Schools",10196789,953,2004,Male,Louisiana,10699.67
2,2990,High School Gradute,"Colleges, Universities, and Professional Schools",31826406,2565,2004,Male,Louisiana,12407.96
3,2991,Some College,"Colleges, Universities, and Professional Schools",56343804,3787,2004,Male,Louisiana,14878.22
4,2992,Advanced Degree,"Colleges, Universities, and Professional Schools",186722050,8439,2004,Male,Louisiana,22126.09
5,2993,Unavalble,"Colleges, Universities, and Professional Schools",5152351,897,2004,Male,Louisiana,5743.98
6,2994,All Education Categories,"Colleges, Universities, and Professional Schools",218632385,17878,2004,Female,Louisiana,12229.13
7,2995,Less Than High School,"Colleges, Universities, and Professional Schools",7373117,878,2004,Female,Louisiana,8397.63
8,2996,High School Gradute,"Colleges, Universities, and Professional Schools",33371795,3457,2004,Female,Louisiana,9653.4
9,2997,Some College,"Colleges, Universities, and Professional Schools",56217914,5017,2004,Female,Louisiana,11205.48
10,2998,Advanced Degree,"Colleges, Universities, and Professional Schools",115587004,7173,2004,Female,Louisiana,16114.18
11,2999,Unavalble,"Colleges, Universities, and Professional Schools",6082554,1353,2004,Female,Louisiana,4495.61
12,6696,All Education Categories,"Colleges, Universities, and Professional Schools",279337941,20792,2005,Male,Louisiana,13434.88
13,6697,Less Than High School,"Colleges, Universities, and Professional Schools",10140707,1237,2005,Male,Louisiana,8197.82
14,6698,High School Gradute,"Colleges, Universities, and Professional Schools",31477358,3270,2005,Male,Louisiana,9626.1
15,6699,Some College,"Colleges, Universities, and Professional Schools",54599057,4740,2005,Male,Louisiana,11518.79
16,6700,Advanced Degree,"Colleges, Universities, and Professional Schools",178409426,10399,2005,Male,Louisiana,17156.4
17,6701,Unavalble,"Colleges, Universities, and Professional Schools",4711393,1146,2005,Male,Louisiana,4111.16
18,6702,All Education Categories,"Colleges, Universities, and Professional Schools",212869899,22973,2005,Female,Louisiana,9266.09
19,6703,Less Than High School,"Colleges, Universities, and Professional Schools",7460651,1165,2005,Female,Louisiana,6403.99
20,6704,High School Gradute,"Colleges, Universities, and Professional Schools",33182347,4376,2005,Female,Louisiana,7582.8
21,6705,Some College,"Colleges, Universities, and Professional Schools",55699515,6445,2005,Female,Louisiana,8642.28
22,6706,Advanced Degree,"Colleges, Universities, and Professional Schools",110948278,9320,2005,Female,Louisiana,11904.32
23,6707,Unavalble,"Colleges, Universities, and Professional Schools",5579108,1667,2005,Female,Louisiana,3346.8
24,10404,All Education Categories,"Colleges, Universities, and Professional Schools",247380642,18584,2006,Male,Louisiana,13311.49
25,10405,Less Than High School,"Colleges, Universities, and Professional Schools",8396262,1045,2006,Male,Louisiana,8034.7
26,10406,High School Gradute,"Colleges, Universities, and Professional Schools",27230118,2879,2006,Male,Louisiana,9458.19
27,10407,Some College,"Colleges, Universities, and Professional Schools",48760054,4280,2006,Male,Louisiana,11392.54
28,10408,Advanced Degree,"Colleges, Universities, and Professional Schools",159352221,9641,2006,Male,Louisiana,16528.6
29,10409,Unavalble,"Colleges, Universities, and Professional Schools",3641988,739,2006,Male,Louisiana,4928.27
30,10410,All Education Categories,"Colleges, Universities, and Professional Schools",185164951,19138,2006,Female,Louisiana,9675.25
31,10411,Less Than High School,"Colleges, Universities, and Professional Schools",6003561,937,2006,Female,Louisiana,6407.22
32,10412,High School Gradute,"Colleges, Universities, and Professional Schools",27225328,3653,2006,Female,Louisiana,7452.87
33,10413,Some College,"Colleges, Universities, and Professional Schools",47559568,5450,2006,Female,Louisiana,8726.53
34,10414,Advanced Degree,"Colleges, Universities, and Professional Schools",100321535,8274,2006,Female,Louisiana,12124.91
35,10415,Unavalble,"Colleges, Universities, and Professional Schools",4054960,824,2006,Female,Louisiana,4921.07
36,14100,All Education Categories,"Colleges, Universities, and Professional Schools",249711663,18328,2007,Male,Louisiana,13624.6
37,14101,Less Than High School,"Colleges, Universities, and Professional Schools",9229554,1086,2007,Male,Louisiana,8498.67
38,14102,High School Gradute,"Colleges, Universities, and Professional Schools",28659447,2878,2007,Male,Louisiana,9958.11
39,14103,Some College,"Colleges, Universities, and Professional Schools",50694222,4238,2007,Male,Louisiana,11961.83
40,14104,Advanced Degree,"Colleges, Universities, and Professional Schools",157041284,9192,2007,Male,Louisiana,17084.56
41,14105,Unavalble,"Colleges, Universities, and Professional Schools",4087156,935,2007,Male,Louisiana,4371.29
42,14106,All Education Categories,"Colleges, Universities, and Professional Schools",194794579,19827,2007,Female,Louisiana,9824.71
43,14107,Less Than High School,"Colleges, Universities, and Professional Schools",6875549,1020,2007,Female,Louisiana,6740.73
44,14108,High School Gradute,"Colleges, Universities, and Professional Schools",29281001,3725,2007,Female,Louisiana,7860.67
45,14109,Some College,"Colleges, Universities, and Professional Schools",50804830,5565,2007,Female,Louisiana,9129.35
46,14110,Advanced Degree,"Colleges, Universities, and Professional Schools",102759449,8228,2007,Female,Louisiana,12488.99
47,14111,Unavalble,"Colleges, Universities, and Professional Schools",5073751,1290,2007,Female,Louisiana,3933.14
48,17796,All Education Categories,"Colleges, Universities, and Professional Schools",187432905,12421,2008,Male,Louisiana,15090.0
49,17797,Less Than High School,"Colleges, Universities, and Professional Schools",7503107,799,2008,Male,Louisiana,9390.62
50,17798,High School Gradute,"Colleges, Universities, and Professional Schools",21845540,2024,2008,Male,Louisiana,10793.25
51,17799,Some College,"Colleges, Universities, and Professional Schools",38849025,2980,2008,Male,Louisiana,13036.59
52,17800,Advanced Degree,"Colleges, Universities, and Professional Schools",116934776,6004,2008,Male,Louisiana,19476.15
53,17801,Unavalble,"Colleges, Universities, and Professional Schools",2300457,616,2008,Male,Louisiana,3734.51
54,17802,All Education Categories,"Colleges, Universities, and Professional Schools",156364615,14656,2008,Female,Louisiana,10668.98
55,17803,Less Than High School,"Colleges, Universities, and Professional Schools",6024451,828,2008,Female,Louisiana,7275.91
56,17804,High School Gradute,"Colleges, Universities, and Professional Schools",24089377,2838,2008,Female,Louisiana,8488.15
57,17805,Some College,"Colleges, Universities, and Professional Schools",41204222,4192,2008,Female,Louisiana,9829.25
58,17806,Advanced Degree,"Colleges, Universities, and Professional Schools",81804651,5910,2008,Female,Louisiana,13841.73
59,17807,Unavalble,"Colleges, Universities, and Professional Schools",3241913,887,2008,Female,Louisiana,3654.92
60,21492,All Education Categories,"Colleges, Universities, and Professional Schools",237936033,16806,2009,Male,Louisiana,14157.8
61,21493,Less Than High School,"Colleges, Universities, and Professional Schools",10908080,1168,2009,Male,Louisiana,9339.11
62,21494,High School Gradute,"Colleges, Universities, and Professional Schools",31301654,2865,2009,Male,Louisiana,10925.53
63,21495,Some College,"Colleges, Universities, and Professional Schools",51753807,4008,2009,Male,Louisiana,12912.63
64,21496,Advanced Degree,"Colleges, Universities, and Professional Schools",139015158,7696,2009,Male,Louisiana,18063.3
65,21497,Unavalble,"Colleges, Universities, and Professional Schools",4957334,1069,2009,Male,Louisiana,4637.36
66,21498,All Education Categories,"Colleges, Universities, and Professional Schools",197391324,18727,2009,Female,Louisiana,10540.47
67,21499,Less Than High School,"Colleges, Universities, and Professional Schools",8718596,1157,2009,Female,Louisiana,7535.52
68,21500,High School Gradute,"Colleges, Universities, and Professional Schools",32779327,3718,2009,Female,Louisiana,8816.39
69,21501,Some College,"Colleges, Universities, and Professional Schools",54540582,5409,2009,Female,Louisiana,10083.3
70,21502,Advanced Degree,"Colleges, Universities, and Professional Schools",95956639,7134,2009,Female,Louisiana,13450.61
71,21503,Unavalble,"Colleges, Universities, and Professional Schools",5396181,1309,2009,Female,Louisiana,4122.37
72,25188,All Education Categories,"Colleges, Universities, and Professional Schools",282099069,17059,2010,Male,Louisiana,16536.67
73,25189,Less Than High School,"Colleges, Universities, and Professional Schools",12634323,1207,2010,Male,Louisiana,10467.54
74,25190,High School Gradute,"Colleges, Universities, and Professional Schools",35173848,2896,2010,Male,Louisiana,12145.67
75,25191,Some College,"Colleges, Universities, and Professional Schools",59282979,4036,2010,Male,Louisiana,14688.55
76,25192,Advanced Degree,"Colleges, Universities, and Professional Schools",170462666,7888,2010,Male,Louisiana,21610.38
77,25193,Unavalble,"Colleges, Universities, and Professional Schools",4545253,1032,2010,Male,Louisiana,4404.31
78,25194,All Education Categories,"Colleges, Universities, and Professional Schools",224220535,18886,2010,Female,Louisiana,11872.31
79,25195,Less Than High School,"Colleges, Universities, and Professional Schools",10497641,1247,2010,Female,Louisiana,8418.32
80,25196,High School Gradute,"Colleges, Universities, and Professional Schools",35890792,3714,2010,Female,Louisiana,9663.65
81,25197,Some College,"Colleges, Universities, and Professional Schools",60833023,5439,2010,Female,Louisiana,11184.6
82,25198,Advanced Degree,"Colleges, Universities, and Professional Schools",112113755,7181,2010,Female,Louisiana,15612.55
83,25199,Unavalble,"Colleges, Universities, and Professional Schools",4885325,1306,2010,Female,Louisiana,3740.68
84,28872,All Education Categories,"Colleges, Universities, and Professional Schools",259182504,17370,2011,Male,Louisiana,14921.27
85,28873,Less Than High School,"Colleges, Universities, and Professional Schools",12204581,1272,2011,Male,Louisiana,9594.8
86,28874,High School Gradute,"Colleges, Universities, and Professional Schools",33157079,3009,2011,Male,Louisiana,11019.3
87,28875,Some College,"Colleges, Universities, and Professional Schools",55127865,4176,2011,Male,Louisiana,13201.12
88,28876,Advanced Degree,"Colleges, Universities, and Professional Schools",155060182,7965,2011,Male,Louisiana,19467.69
89,28877,Unavalble,"Colleges, Universities, and Professional Schools",3632797,948,2011,Male,Louisiana,3832.06
90,28878,All Education Categories,"Colleges, Universities, and Professional Schools",208960581,19579,2011,Female,Louisiana,10672.69
91,28879,Less Than High School,"Colleges, Universities, and Professional Schools",10382197,1335,2011,Female,Louisiana,7776.93
92,28880,High School Gradute,"Colleges, Universities, and Professional Schools",34332107,3903,2011,Female,Louisiana,8796.34
93,28881,Some College,"Colleges, Universities, and Professional Schools",57269573,5662,2011,Female,Louisiana,10114.73
94,28882,Advanced Degree,"Colleges, Universities, and Professional Schools",102820163,7415,2011,Female,Louisiana,13866.51
95,28883,Unavalble,"Colleges, Universities, and Professional Schools",4156542,1263,2011,Female,Louisiana,3291.01
96,32568,All Education Categories,"Colleges, Universities, and Professional Schools",282833595,17939,2012,Male,Louisiana,15766.41
97,32569,Less Than High School,"Colleges, Universities, and Professional Schools",14045965,1387,2012,Male,Louisiana,10126.87
98,32570,High School Gradute,"Colleges, Universities, and Professional Schools",37484208,3228,2012,Male,Louisiana,11612.21
99,32571,Some College,"Colleges, Universities, and Professional Schools",61219473,4355,2012,Male,Louisiana,14057.28
100,32572,Advanced Degree,"Colleges, Universities, and Professional Schools",166135679,7975,2012,Male,Louisiana,20832.06
101,32573,Unavalble,"Colleges, Universities, and Professional Schools",3948271,993,2012,Male,Louisiana,3976.1
102,32574,All Education Categories,"Colleges, Universities, and Professional Schools",229359130,20476,2012,Female,Louisiana,11201.36
103,32575,Less Than High School,"Colleges, Universities, and Professional Schools",12350052,1470,2012,Female,Louisiana,8401.4
104,32576,High School Gradute,"Colleges, Universities, and Professional Schools",38651462,4141,2012,Female,Louisiana,9333.85
105,32577,Some College,"Colleges, Universities, and Professional Schools",63064908,5909,2012,Female,Louisiana,10672.69
106,32578,Advanced Degree,"Colleges, Universities, and Professional Schools",111012049,7586,2012,Female,Louisiana,14633.81
107,32579,Unavalble,"Colleges, Universities, and Professional Schools",4280658,1371,2012,Female,Louisiana,3122.29
108,34200,All Education Categories,Educational Services,498831687,43687,2004,Male,Louisiana,11418.31
109,34201,Less Than High School,Educational Services,24527809,3495,2004,Male,Louisiana,7017.97
110,34202,High School Gradute,Educational Services,76180813,9089,2004,Male,Louisiana,8381.65
111,34203,Some College,Educational Services,114684024,11391,2004,Male,Louisiana,10067.95
112,34204,Advanced Degree,Educational Services,273498931,17507,2004,Male,Louisiana,15622.26
113,34205,Unavalble,Educational Services,9940109,2205,2004,Male,Louisiana,4507.99
114,34206,All Education Categories,Educational Services,908167898,121611,2004,Female,Louisiana,7467.81
