,Unnamed: 0,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,252,All Education Categories,00,30061703591,1472395,2011,Male,Massachusetts,20416.87
1,253,Less Than High School,00,1628052362,141176,2011,Male,Massachusetts,11532.08
2,254,High School Gradute,00,4288992600,299578,2011,Male,Massachusetts,14316.78
3,255,Some College,00,6546118048,358214,2011,Male,Massachusetts,18274.32
4,256,Advanced Degree,00,16791955365,501234,2011,Male,Massachusetts,33501.23
5,257,Unavalble,00,806585215,172192,2011,Male,Massachusetts,4684.22
6,258,All Education Categories,00,17657775423,1554557,2011,Female,Massachusetts,11358.72
7,259,Less Than High School,00,892097155,116106,2011,Female,Massachusetts,7683.47
8,260,High School Gradute,00,2562651532,295517,2011,Female,Massachusetts,8671.76
9,261,Some College,00,4485938146,415806,2011,Female,Massachusetts,10788.54
10,262,Advanced Degree,00,8926298238,518022,2011,Female,Massachusetts,17231.5
11,263,Unavalble,00,790790352,209106,2011,Female,Massachusetts,3781.77
12,312,All Education Categories,Manufacturing,4016000431,176136,2011,Male,Massachusetts,22800.57
13,313,Less Than High School,Manufacturing,264113380,19045,2011,Male,Massachusetts,13867.86
14,314,High School Gradute,Manufacturing,744089364,43361,2011,Male,Massachusetts,17160.34
15,315,Some College,Manufacturing,1072484982,49591,2011,Male,Massachusetts,21626.61
16,316,Advanced Degree,Manufacturing,1864689038,55002,2011,Male,Massachusetts,33902.2
17,317,Unavalble,Manufacturing,70623667,9137,2011,Male,Massachusetts,7729.42
18,318,All Education Categories,Manufacturing,1143499727,77930,2011,Female,Massachusetts,14673.42
19,319,Less Than High School,Manufacturing,83478996,8860,2011,Female,Massachusetts,9422.01
20,320,High School Gradute,Manufacturing,216827957,18951,2011,Female,Massachusetts,11441.5
21,321,Some College,Manufacturing,322027210,22562,2011,Female,Massachusetts,14272.99
22,322,Advanced Degree,Manufacturing,493743040,22845,2011,Female,Massachusetts,21612.74
23,323,Unavalble,Manufacturing,27422524,4712,2011,Female,Massachusetts,5819.72
24,336,All Education Categories,Retail Trade,1456513575,170366,2011,Male,Massachusetts,8549.32
25,337,Less Than High School,Retail Trade,135043301,17679,2011,Male,Massachusetts,7638.63
26,338,High School Gradute,Retail Trade,358003337,38817,2011,Male,Massachusetts,9222.85
27,339,Some College,Retail Trade,404462639,37942,2011,Male,Massachusetts,10660.02
28,340,Advanced Degree,Retail Trade,415559823,29345,2011,Male,Massachusetts,14161.18
29,341,Unavalble,Retail Trade,143444475,46584,2011,Male,Massachusetts,3079.26
30,342,All Education Categories,Retail Trade,860611560,166721,2011,Female,Massachusetts,5161.99
31,343,Less Than High School,Retail Trade,71204635,14392,2011,Female,Massachusetts,4947.51
32,344,High School Gradute,Retail Trade,207018418,37658,2011,Female,Massachusetts,5497.33
33,345,Some College,Retail Trade,233520577,36603,2011,Female,Massachusetts,6379.82
34,346,Advanced Degree,Retail Trade,225583015,26197,2011,Female,Massachusetts,8611.02
35,347,Unavalble,Retail Trade,123284916,51871,2011,Female,Massachusetts,2376.76
36,372,All Education Categories,Finance and Insurance,4449920911,74903,2011,Male,Massachusetts,59409.11
37,373,Less Than High School,Finance and Insurance,113938212,3356,2011,Male,Massachusetts,33950.6
38,374,High School Gradute,Finance and Insurance,326499811,8857,2011,Male,Massachusetts,36863.48
39,375,Some College,Finance and Insurance,684186165,15134,2011,Male,Massachusetts,45208.55
40,376,Advanced Degree,Finance and Insurance,3281747850,43540,2011,Male,Massachusetts,75373.17
41,377,Unavalble,Finance and Insurance,43548874,4016,2011,Male,Massachusetts,10843.84
42,378,All Education Categories,Finance and Insurance,2136599679,94790,2011,Female,Massachusetts,22540.35
43,379,Less Than High School,Finance and Insurance,60794265,3929,2011,Female,Massachusetts,15473.22
44,380,High School Gradute,Finance and Insurance,214423765,14099,2011,Female,Massachusetts,15208.44
45,381,Some College,Finance and Insurance,428400027,23875,2011,Female,Massachusetts,17943.46
46,382,Advanced Degree,Finance and Insurance,1385582882,47209,2011,Female,Massachusetts,29349.97
47,383,Unavalble,Finance and Insurance,47398739,5678,2011,Female,Massachusetts,8347.79
48,432,All Education Categories,Educational Services,1800352560,125854,2011,Male,Massachusetts,14305.09
49,433,Less Than High School,Educational Services,84037783,7450,2011,Male,Massachusetts,11280.24
50,434,High School Gradute,Educational Services,246649209,20123,2011,Male,Massachusetts,12257.08
51,435,Some College,Educational Services,401694490,29265,2011,Male,Massachusetts,13726.11
52,436,Advanced Degree,Educational Services,1034736526,58485,2011,Male,Massachusetts,17692.34
53,437,Unavalble,Educational Services,33234553,10530,2011,Male,Massachusetts,3156.18
54,438,All Education Categories,Educational Services,2014104269,190082,2011,Female,Massachusetts,10595.98
55,439,Less Than High School,Educational Services,75849759,8762,2011,Female,Massachusetts,8656.67
56,440,High School Gradute,Educational Services,273278733,31306,2011,Female,Massachusetts,8729.28
57,441,Some College,Educational Services,482899725,47648,2011,Female,Massachusetts,10134.73
58,442,Advanced Degree,Educational Services,1129824672,84176,2011,Female,Massachusetts,13422.17
59,443,Unavalble,Educational Services,52251380,18190,2011,Female,Massachusetts,2872.53
60,444,All Education Categories,Health Care and Social Assistance,1999390304,119437,2011,Male,Massachusetts,16740.12
61,445,Less Than High School,Health Care and Social Assistance,115371410,10556,2011,Male,Massachusetts,10929.46
62,446,High School Gradute,Health Care and Social Assistance,267541777,21507,2011,Male,Massachusetts,12439.75
63,447,Some College,Health Care and Social Assistance,467877512,30749,2011,Male,Massachusetts,15216.02
64,448,Advanced Degree,Health Care and Social Assistance,1095875222,45429,2011,Male,Massachusetts,24122.81
65,449,Unavalble,Health Care and Social Assistance,52724383,11195,2011,Male,Massachusetts,4709.64
66,450,All Education Categories,Health Care and Social Assistance,4262314183,392951,2011,Female,Massachusetts,10846.94
67,451,Less Than High School,Health Care and Social Assistance,219594402,27258,2011,Female,Massachusetts,8056.15
68,452,High School Gradute,Health Care and Social Assistance,619395355,71182,2011,Female,Massachusetts,8701.57
69,453,Some College,Health Care and Social Assistance,1290842775,124669,2011,Female,Massachusetts,10354.16
70,454,Advanced Degree,Health Care and Social Assistance,1959174326,135812,2011,Female,Massachusetts,14425.63
71,455,Unavalble,Health Care and Social Assistance,173307325,34030,2011,Female,Massachusetts,5092.78
72,468,All Education Categories,Accommodation and Food Services,612757047,112444,2011,Male,Massachusetts,5449.44
73,469,Less Than High School,Accommodation and Food Services,97357545,17642,2011,Male,Massachusetts,5518.51
74,470,High School Gradute,Accommodation and Food Services,149259489,24367,2011,Male,Massachusetts,6125.48
75,471,Some College,Accommodation and Food Services,151792616,22568,2011,Male,Massachusetts,6726.01
76,472,Advanced Degree,Accommodation and Food Services,127889293,16612,2011,Male,Massachusetts,7698.61
77,473,Unavalble,Accommodation and Food Services,86458104,31256,2011,Male,Massachusetts,2766.13
78,474,All Education Categories,Accommodation and Food Services,524581071,132197,2011,Female,Massachusetts,3968.18
79,475,Less Than High School,Accommodation and Food Services,63965113,15215,2011,Female,Massachusetts,4204.08
80,476,High School Gradute,Accommodation and Food Services,116011402,26864,2011,Female,Massachusetts,4318.47
81,477,Some College,Accommodation and Food Services,127720236,27135,2011,Female,Massachusetts,4706.84
82,478,Advanced Degree,Accommodation and Food Services,104262216,18874,2011,Female,Massachusetts,5524.12
83,479,Unavalble,Accommodation and Food Services,112622104,44110,2011,Female,Massachusetts,2553.21
84,504,All Education Categories,00,30245285917,1501870,2012,Male,Massachusetts,20138.42
85,505,Less Than High School,00,1756998453,146407,2012,Male,Massachusetts,12000.78
86,506,High School Gradute,00,4554505381,308601,2012,Male,Massachusetts,14758.56
87,507,Some College,00,6808732265,366689,2012,Male,Massachusetts,18568.14
88,508,Advanced Degree,00,16248369969,505142,2012,Male,Massachusetts,32165.95
89,509,Unavalble,00,876679850,175032,2012,Male,Massachusetts,5008.68
90,510,All Education Categories,00,18743524968,1574086,2012,Female,Massachusetts,11907.56
91,511,Less Than High School,00,983459048,119478,2012,Female,Massachusetts,8231.3
92,512,High School Gradute,00,2777547433,300148,2012,Female,Massachusetts,9253.93
93,513,Some College,00,4810576204,422345,2012,Female,Massachusetts,11390.16
94,514,Advanced Degree,00,9317486665,521711,2012,Female,Massachusetts,17859.48
95,515,Unavalble,00,854455618,210405,2012,Female,Massachusetts,4061.0
