,Unnamed: 0,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,All Education Categories,00,6491020387,672301,2004,Male,Oklahoma,9654.93
1,1,Less Than High School,00,489800558,71892,2004,Male,Oklahoma,6813.01
2,2,High School Gradute,00,1609403234,186318,2004,Male,Oklahoma,8637.94
3,3,Some College,00,1835400161,178652,2004,Male,Oklahoma,10273.61
4,4,Advanced Degree,00,2156889101,132075,2004,Male,Oklahoma,16330.79
5,5,Unavalble,00,399527333,103365,2004,Male,Oklahoma,3865.21
6,6,All Education Categories,00,4015541844,675627,2004,Female,Oklahoma,5943.43
7,7,Less Than High School,00,224002270,53130,2004,Female,Oklahoma,4216.12
8,8,High School Gradute,00,896738640,171741,2004,Female,Oklahoma,5221.46
9,9,Some College,00,1276584779,200224,2004,Female,Oklahoma,6375.78
10,10,Advanced Degree,00,1284492360,139354,2004,Female,Oklahoma,9217.48
11,11,Unavalble,00,333723797,111177,2004,Female,Oklahoma,3001.73
12,60,All Education Categories,Manufacturing,1116837025,106066,2004,Male,Oklahoma,10529.64
13,61,Less Than High School,Manufacturing,110103106,13787,2004,Male,Oklahoma,7986.01
14,62,High School Gradute,Manufacturing,358493895,36802,2004,Male,Oklahoma,9741.15
15,63,Some College,Manufacturing,351632921,31122,2004,Male,Oklahoma,11298.53
16,64,Advanced Degree,Manufacturing,242602432,14882,2004,Male,Oklahoma,16301.74
17,65,Unavalble,Manufacturing,54004672,9475,2004,Male,Oklahoma,5699.7
18,66,All Education Categories,Manufacturing,267829241,36925,2004,Female,Oklahoma,7253.33
19,67,Less Than High School,Manufacturing,27887733,4867,2004,Female,Oklahoma,5729.96
20,68,High School Gradute,Manufacturing,84944053,12624,2004,Female,Oklahoma,6728.77
21,69,Some College,Manufacturing,85125963,11063,2004,Female,Oklahoma,7694.65
22,70,Advanced Degree,Manufacturing,55807760,5207,2004,Female,Oklahoma,10717.83
23,71,Unavalble,Manufacturing,14063732,3165,2004,Female,Oklahoma,4443.52
24,84,All Education Categories,Retail Trade,550760901,81472,2004,Male,Oklahoma,6760.12
25,85,Less Than High School,Retail Trade,49769411,8461,2004,Male,Oklahoma,5882.21
26,86,High School Gradute,Retail Trade,162952623,22644,2004,Male,Oklahoma,7196.28
27,87,Some College,Retail Trade,157340909,18699,2004,Male,Oklahoma,8414.4
28,88,Advanced Degree,Retail Trade,107077675,8721,2004,Male,Oklahoma,12278.14
29,89,Unavalble,Retail Trade,73620282,22947,2004,Male,Oklahoma,3208.27
30,90,All Education Categories,Retail Trade,330754092,85992,2004,Female,Oklahoma,3846.34
31,91,Less Than High School,Retail Trade,31886868,8820,2004,Female,Oklahoma,3615.29
32,92,High School Gradute,Retail Trade,105970179,25636,2004,Female,Oklahoma,4133.65
33,93,Some College,Retail Trade,89680538,19538,2004,Female,Oklahoma,4590.06
34,94,Advanced Degree,Retail Trade,46378067,7558,2004,Female,Oklahoma,6136.29
35,95,Unavalble,Retail Trade,56838440,24439,2004,Female,Oklahoma,2325.73
36,120,All Education Categories,Finance and Insurance,272653096,16051,2004,Male,Oklahoma,16986.67
37,121,Less Than High School,Finance and Insurance,6365093,685,2004,Male,Oklahoma,9292.11
38,122,High School Gradute,Finance and Insurance,28989458,2594,2004,Male,Oklahoma,11175.58
39,123,Some College,Finance and Insurance,57337300,3973,2004,Male,Oklahoma,14431.74
40,124,Advanced Degree,Finance and Insurance,171306245,7145,2004,Male,Oklahoma,23975.68
41,125,Unavalble,Finance and Insurance,8655000,1654,2004,Male,Oklahoma,5232.77
42,126,All Education Categories,Finance and Insurance,300291458,39269,2004,Female,Oklahoma,7647.04
43,127,Less Than High School,Finance and Insurance,8004220,1454,2004,Female,Oklahoma,5504.97
44,128,High School Gradute,Finance and Insurance,58222163,9091,2004,Female,Oklahoma,6404.37
45,129,Some College,Finance and Insurance,91180363,12205,2004,Female,Oklahoma,7470.74
46,130,Advanced Degree,Finance and Insurance,118737810,11205,2004,Female,Oklahoma,10596.86
47,131,Unavalble,Finance and Insurance,24146902,5314,2004,Female,Oklahoma,4544.02
48,180,All Education Categories,Educational Services,402764980,46020,2004,Male,Oklahoma,8751.96
49,181,Less Than High School,Educational Services,15596589,2814,2004,Male,Oklahoma,5542.5
50,182,High School Gradute,Educational Services,67061815,9608,2004,Male,Oklahoma,6979.79
51,183,Some College,Educational Services,96919511,11864,2004,Male,Oklahoma,8169.21
52,184,Advanced Degree,Educational Services,215670613,18897,2004,Male,Oklahoma,11412.96
53,185,Unavalble,Educational Services,7516451,2838,2004,Male,Oklahoma,2648.5
54,186,All Education Categories,Educational Services,605935921,98217,2004,Female,Oklahoma,6169.36
55,187,Less Than High School,Educational Services,16266163,4351,2004,Female,Oklahoma,3738.49
56,188,High School Gradute,Educational Services,114511174,23338,2004,Female,Oklahoma,4906.64
57,189,Some College,Educational Services,170762783,29062,2004,Female,Oklahoma,5875.81
58,190,Advanced Degree,Educational Services,290183356,36669,2004,Female,Oklahoma,7913.59
59,191,Unavalble,Educational Services,14212446,4798,2004,Female,Oklahoma,2962.16
60,192,All Education Categories,Health Care and Social Assistance,439216414,35144,2004,Male,Oklahoma,12497.62
61,193,Less Than High School,Health Care and Social Assistance,16668261,2764,2004,Male,Oklahoma,6030.49
62,194,High School Gradute,Health Care and Social Assistance,61401689,7474,2004,Male,Oklahoma,8215.37
63,195,Some College,Health Care and Social Assistance,112811597,10282,2004,Male,Oklahoma,10971.76
64,196,Advanced Degree,Health Care and Social Assistance,234036869,10593,2004,Male,Oklahoma,22093.54
65,197,Unavalble,Health Care and Social Assistance,14297999,4032,2004,Male,Oklahoma,3546.13
66,198,All Education Categories,Health Care and Social Assistance,899930027,145417,2004,Female,Oklahoma,6188.62
67,199,Less Than High School,Health Care and Social Assistance,45597953,10926,2004,Female,Oklahoma,4173.34
68,200,High School Gradute,Health Care and Social Assistance,179172553,35047,2004,Female,Oklahoma,5112.35
69,201,Some College,Health Care and Social Assistance,335481059,51893,2004,Female,Oklahoma,6464.86
70,202,Advanced Degree,Health Care and Social Assistance,274552145,29594,2004,Female,Oklahoma,9277.29
71,203,Unavalble,Health Care and Social Assistance,65126316,17957,2004,Female,Oklahoma,3626.79
72,216,All Education Categories,Accommodation and Food Services,170298342,47025,2004,Male,Oklahoma,3621.44
73,217,Less Than High School,Accommodation and Food Services,23210763,5847,2004,Male,Oklahoma,3969.69
74,218,High School Gradute,Accommodation and Food Services,40293046,9020,2004,Male,Oklahoma,4467.08
75,219,Some College,Accommodation and Food Services,35504523,7148,2004,Male,Oklahoma,4967.06
76,220,Advanced Degree,Accommodation and Food Services,19735920,3275,2004,Male,Oklahoma,6026.24
77,221,Unavalble,Accommodation and Food Services,51554090,21736,2004,Male,Oklahoma,2371.83
78,222,All Education Categories,Accommodation and Food Services,167281394,60396,2004,Female,Oklahoma,2769.74
79,223,Less Than High School,Accommodation and Food Services,20463615,6964,2004,Female,Oklahoma,2938.49
80,224,High School Gradute,Accommodation and Food Services,38962338,12068,2004,Female,Oklahoma,3228.57
81,225,Some College,Accommodation and Food Services,34475972,9761,2004,Female,Oklahoma,3532.01
82,226,Advanced Degree,Accommodation and Food Services,15834042,3836,2004,Female,Oklahoma,4127.75
83,227,Unavalble,Accommodation and Food Services,57545427,27768,2004,Female,Oklahoma,2072.36
84,252,All Education Categories,00,6747776322,682412,2005,Male,Oklahoma,9888.13
85,253,Less Than High School,00,510590248,73799,2005,Male,Oklahoma,6918.66
86,254,High School Gradute,00,1671479034,189413,2005,Male,Oklahoma,8824.52
87,255,Some College,00,1920097114,181447,2005,Male,Oklahoma,10582.14
88,256,Advanced Degree,00,2234680460,132764,2005,Male,Oklahoma,16831.98
89,257,Unavalble,00,410929467,104989,2005,Male,Oklahoma,3914.02
90,258,All Education Categories,00,4127927300,688662,2005,Female,Oklahoma,5994.13
91,259,Less Than High School,00,231277323,54751,2005,Female,Oklahoma,4224.17
92,260,High School Gradute,00,916985562,174308,2005,Female,Oklahoma,5260.72
93,261,Some College,00,1316822616,204503,2005,Female,Oklahoma,6439.14
94,262,Advanced Degree,00,1326229129,142726,2005,Female,Oklahoma,9292.13
95,263,Unavalble,00,336612670,112374,2005,Female,Oklahoma,2995.47
96,312,All Education Categories,Manufacturing,1123807932,107031,2005,Male,Oklahoma,10499.84
97,313,Less Than High School,Manufacturing,112029961,14191,2005,Male,Oklahoma,7894.44
98,314,High School Gradute,Manufacturing,360952405,36988,2005,Male,Oklahoma,9758.64
99,315,Some College,Manufacturing,351578957,31219,2005,Male,Oklahoma,11261.7
100,316,Advanced Degree,Manufacturing,240398250,14444,2005,Male,Oklahoma,16643.47
101,317,Unavalble,Manufacturing,58848359,10190,2005,Male,Oklahoma,5775.11
102,318,All Education Categories,Manufacturing,259923720,36665,2005,Female,Oklahoma,7089.15
103,319,Less Than High School,Manufacturing,27544257,5048,2005,Female,Oklahoma,5456.47
104,320,High School Gradute,Manufacturing,82264646,12455,2005,Female,Oklahoma,6604.95
105,321,Some College,Manufacturing,82714007,10912,2005,Female,Oklahoma,7580.1
106,322,Advanced Degree,Manufacturing,53393655,5034,2005,Female,Oklahoma,10606.61
107,323,Unavalble,Manufacturing,14007156,3216,2005,Female,Oklahoma,4355.46
108,336,All Education Categories,Retail Trade,535170662,78427,2005,Male,Oklahoma,6823.81
109,337,Less Than High School,Retail Trade,48574548,8288,2005,Male,Oklahoma,5860.83
110,338,High School Gradute,Retail Trade,158823263,22083,2005,Male,Oklahoma,7192.11
111,339,Some College,Retail Trade,154370039,18085,2005,Male,Oklahoma,8535.81
112,340,Advanced Degree,Retail Trade,104576131,8308,2005,Male,Oklahoma,12587.4
113,341,Unavalble,Retail Trade,68826681,21663,2005,Male,Oklahoma,3177.15
114,342,All Education Categories,Retail Trade,322625497,83266,2005,Female,Oklahoma,3874.64
115,343,Less Than High School,Retail Trade,31410285,8645,2005,Female,Oklahoma,3633.35
