,Unnamed: 0,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,All Education Categories,00,2484833907,216512,2004,Male,Rhode Island,11476.66
1,1,Less Than High School,00,139111728,20354,2004,Male,Rhode Island,6834.61
2,2,High School Gradute,00,461002150,50296,2004,Male,Rhode Island,9165.78
3,3,Some College,00,621220410,54034,2004,Male,Rhode Island,11496.84
4,4,Advanced Degree,00,1145341427,60676,2004,Male,Rhode Island,18876.35
5,5,Unavalble,00,118158191,31151,2004,Male,Rhode Island,3793.08
6,6,All Education Categories,00,1761990754,238485,2004,Female,Rhode Island,7388.27
7,7,Less Than High School,00,71998823,16301,2004,Female,Rhode Island,4416.83
8,8,High School Gradute,00,309503010,53086,2004,Female,Rhode Island,5830.22
9,9,Some College,00,498841082,66720,2004,Female,Rhode Island,7476.63
10,10,Advanced Degree,00,766301806,65762,2004,Female,Rhode Island,11652.65
11,11,Unavalble,00,115346033,36617,2004,Female,Rhode Island,3150.07
12,60,All Education Categories,Manufacturing,419257572,36890,2004,Male,Rhode Island,11365.07
13,61,Less Than High School,Manufacturing,38967001,5261,2004,Male,Rhode Island,7406.77
14,62,High School Gradute,Manufacturing,109879261,11136,2004,Male,Rhode Island,9867.03
15,63,Some College,Manufacturing,124629465,10619,2004,Male,Rhode Island,11736.46
16,64,Advanced Degree,Manufacturing,132676815,7568,2004,Male,Rhode Island,17531.29
17,65,Unavalble,Manufacturing,13105031,2306,2004,Male,Rhode Island,5683.01
18,66,All Education Categories,Manufacturing,138615854,20439,2004,Female,Rhode Island,6781.93
19,67,Less Than High School,Manufacturing,15892945,3559,2004,Female,Rhode Island,4465.56
20,68,High School Gradute,Manufacturing,38711151,6537,2004,Female,Rhode Island,5921.85
21,69,Some College,Manufacturing,41238499,5650,2004,Female,Rhode Island,7298.85
22,70,Advanced Degree,Manufacturing,36522249,3255,2004,Female,Rhode Island,11220.35
23,71,Unavalble,Manufacturing,6251011,1438,2004,Female,Rhode Island,4347.02
24,84,All Education Categories,Retail Trade,199497613,26724,2004,Male,Rhode Island,7465.11
25,85,Less Than High School,Retail Trade,15867534,2521,2004,Male,Rhode Island,6294.14
26,86,High School Gradute,Retail Trade,54588902,6738,2004,Male,Rhode Island,8101.65
27,87,Some College,Retail Trade,55296136,5934,2004,Male,Rhode Island,9318.53
28,88,Advanced Degree,Retail Trade,48219280,3668,2004,Male,Rhode Island,13145.93
29,89,Unavalble,Retail Trade,25525761,7863,2004,Male,Rhode Island,3246.31
30,90,All Education Categories,Retail Trade,112813190,26006,2004,Female,Rhode Island,4337.97
31,91,Less Than High School,Retail Trade,7432666,1970,2004,Female,Rhode Island,3772.93
32,92,High School Gradute,Retail Trade,30211299,6651,2004,Female,Rhode Island,4542.37
33,93,Some College,Retail Trade,30033545,5620,2004,Female,Rhode Island,5344.05
34,94,Advanced Degree,Retail Trade,24324997,3122,2004,Female,Rhode Island,7791.48
35,95,Unavalble,Retail Trade,20810683,8643,2004,Female,Rhode Island,2407.81
36,120,All Education Categories,Finance and Insurance,233316534,9148,2004,Male,Rhode Island,25504.65
37,121,Less Than High School,Finance and Insurance,2584327,255,2004,Male,Rhode Island,10134.62
38,122,High School Gradute,Finance and Insurance,15963668,1071,2004,Male,Rhode Island,14905.39
39,123,Some College,Finance and Insurance,38637114,1947,2004,Male,Rhode Island,19844.43
40,124,Advanced Degree,Finance and Insurance,170835384,5095,2004,Male,Rhode Island,33530.01
41,125,Unavalble,Finance and Insurance,5296041,782,2004,Male,Rhode Island,6772.43
42,126,All Education Categories,Finance and Insurance,180082043,15756,2004,Female,Rhode Island,11429.43
43,127,Less Than High School,Finance and Insurance,2835997,434,2004,Female,Rhode Island,6534.56
44,128,High School Gradute,Finance and Insurance,22640812,2781,2004,Female,Rhode Island,8141.25
45,129,Some College,Finance and Insurance,42210680,4317,2004,Female,Rhode Island,9777.78
46,130,Advanced Degree,Finance and Insurance,103273115,6655,2004,Female,Rhode Island,15518.12
47,131,Unavalble,Finance and Insurance,9121438,1570,2004,Female,Rhode Island,5809.83
48,180,All Education Categories,Educational Services,250882297,21150,2004,Male,Rhode Island,11862.05
49,181,Less Than High School,Educational Services,6729986,829,2004,Male,Rhode Island,8118.2
50,182,High School Gradute,Educational Services,35109480,3482,2004,Male,Rhode Island,10083.14
51,183,Some College,Educational Services,61074325,5212,2004,Male,Rhode Island,11718.02
52,184,Advanced Degree,Educational Services,143161503,10009,2004,Male,Rhode Island,14303.28
53,185,Unavalble,Educational Services,4807004,1618,2004,Male,Rhode Island,2970.95
54,186,All Education Categories,Educational Services,312058564,32986,2004,Female,Rhode Island,9460.33
55,187,Less Than High School,Educational Services,5192448,991,2004,Female,Rhode Island,5239.6
56,188,High School Gradute,Educational Services,40275177,5901,2004,Female,Rhode Island,6825.14
57,189,Some College,Educational Services,75096567,8588,2004,Female,Rhode Island,8744.36
58,190,Advanced Degree,Educational Services,184105271,14928,2004,Female,Rhode Island,12332.88
59,191,Unavalble,Educational Services,7389101,2578,2004,Female,Rhode Island,2866.21
60,192,All Education Categories,Health Care and Social Assistance,192994829,15325,2004,Male,Rhode Island,12593.46
61,193,Less Than High School,Health Care and Social Assistance,6884634,1038,2004,Male,Rhode Island,6632.6
62,194,High School Gradute,Health Care and Social Assistance,24291667,2798,2004,Male,Rhode Island,8681.8
63,195,Some College,Health Care and Social Assistance,45275705,4012,2004,Male,Rhode Island,11285.07
64,196,Advanced Degree,Health Care and Social Assistance,109679423,5741,2004,Male,Rhode Island,19104.59
65,197,Unavalble,Health Care and Social Assistance,6863400,1736,2004,Male,Rhode Island,3953.57
66,198,All Education Categories,Health Care and Social Assistance,425270406,56309,2004,Female,Rhode Island,7552.44
67,199,Less Than High School,Health Care and Social Assistance,15262959,2977,2004,Female,Rhode Island,5126.96
68,200,High School Gradute,Health Care and Social Assistance,72269982,11748,2004,Female,Rhode Island,6151.68
69,201,Some College,Health Care and Social Assistance,149113931,19753,2004,Female,Rhode Island,7548.93
70,202,Advanced Degree,Health Care and Social Assistance,165142043,16107,2004,Female,Rhode Island,10252.81
71,203,Unavalble,Health Care and Social Assistance,23481492,5723,2004,Female,Rhode Island,4103.0
72,216,All Education Categories,Accommodation and Food Services,68924440,17057,2004,Male,Rhode Island,4040.83
73,217,Less Than High School,Accommodation and Food Services,8891002,2032,2004,Male,Rhode Island,4375.49
74,218,High School Gradute,Accommodation and Food Services,17275785,3446,2004,Male,Rhode Island,5013.29
75,219,Some College,Accommodation and Food Services,15359762,2810,2004,Male,Rhode Island,5466.11
76,220,Advanced Degree,Accommodation and Food Services,10086069,1583,2004,Male,Rhode Island,6371.49
77,221,Unavalble,Accommodation and Food Services,17311822,7186,2004,Male,Rhode Island,2409.1
78,222,All Education Categories,Accommodation and Food Services,62384084,21437,2004,Female,Rhode Island,2910.11
79,223,Less Than High School,Accommodation and Food Services,6058957,1997,2004,Female,Rhode Island,3034.03
80,224,High School Gradute,Accommodation and Food Services,14780240,4545,2004,Female,Rhode Island,3251.98
81,225,Some College,Accommodation and Food Services,13874286,3829,2004,Female,Rhode Island,3623.48
82,226,Advanced Degree,Accommodation and Food Services,8142935,1942,2004,Female,Rhode Island,4193.07
83,227,Unavalble,Accommodation and Food Services,19527666,9124,2004,Female,Rhode Island,2140.25
84,252,All Education Categories,00,2524941776,216184,2005,Male,Rhode Island,11679.6
85,253,Less Than High School,00,140800857,20168,2005,Male,Rhode Island,6981.4
86,254,High School Gradute,00,466478492,50008,2005,Male,Rhode Island,9328.08
87,255,Some College,00,628089666,53910,2005,Male,Rhode Island,11650.71
88,256,Advanced Degree,00,1170859715,60798,2005,Male,Rhode Island,19258.19
89,257,Unavalble,00,118713045,31299,2005,Male,Rhode Island,3792.87
90,258,All Education Categories,00,1767779798,238325,2005,Female,Rhode Island,7417.52
91,259,Less Than High School,00,74213676,16481,2005,Female,Rhode Island,4502.98
92,260,High School Gradute,00,310826854,52747,2005,Female,Rhode Island,5892.79
93,261,Some College,00,503134208,66863,2005,Female,Rhode Island,7524.85
94,262,Advanced Degree,00,764983183,65771,2005,Female,Rhode Island,11631.01
95,263,Unavalble,00,114621877,36463,2005,Female,Rhode Island,3143.51
96,312,All Education Categories,Manufacturing,433651257,36373,2005,Male,Rhode Island,11922.34
97,313,Less Than High School,Manufacturing,39705405,5111,2005,Male,Rhode Island,7768.62
98,314,High School Gradute,Manufacturing,112208292,10881,2005,Male,Rhode Island,10312.31
99,315,Some College,Manufacturing,128947840,10430,2005,Male,Rhode Island,12363.17
100,316,Advanced Degree,Manufacturing,138907657,7503,2005,Male,Rhode Island,18513.62
101,317,Unavalble,Manufacturing,13882062,2446,2005,Male,Rhode Island,5675.41
102,318,All Education Categories,Manufacturing,139861160,19785,2005,Female,Rhode Island,7069.05
103,319,Less Than High School,Manufacturing,16084171,3449,2005,Female,Rhode Island,4663.43
104,320,High School Gradute,Manufacturing,39028351,6224,2005,Female,Rhode Island,6270.62
105,321,Some College,Manufacturing,41961503,5501,2005,Female,Rhode Island,7627.98
106,322,Advanced Degree,Manufacturing,36759141,3226,2005,Female,Rhode Island,11394.65
107,323,Unavalble,Manufacturing,6027993,1384,2005,Female,Rhode Island,4355.49
108,336,All Education Categories,Retail Trade,197337199,25999,2005,Male,Rhode Island,7590.18
109,337,Less Than High School,Retail Trade,15515293,2469,2005,Male,Rhode Island,6284.04
110,338,High School Gradute,Retail Trade,53231465,6558,2005,Male,Rhode Island,8117.03
111,339,Some College,Retail Trade,54664238,5725,2005,Male,Rhode Island,9548.34
112,340,Advanced Degree,Retail Trade,49004913,3561,2005,Male,Rhode Island,13761.56
113,341,Unavalble,Retail Trade,24921290,7687,2005,Male,Rhode Island,3242.0
114,342,All Education Categories,Retail Trade,113240493,24932,2005,Female,Rhode Island,4541.97
115,343,Less Than High School,Retail Trade,7409569,1903,2005,Female,Rhode Island,3893.63
116,344,High School Gradute,Retail Trade,29867550,6363,2005,Female,Rhode Island,4693.94
117,345,Some College,Retail Trade,30117098,5366,2005,Female,Rhode Island,5612.58
118,346,Advanced Degree,Retail Trade,25521535,2975,2005,Female,Rhode Island,8578.67
119,347,Unavalble,Retail Trade,20324741,8326,2005,Female,Rhode Island,2441.12
120,372,All Education Categories,Finance and Insurance,238422994,9397,2005,Male,Rhode Island,25372.25
121,373,Less Than High School,Finance and Insurance,2903743,274,2005,Male,Rhode Island,10597.6
122,374,High School Gradute,Finance and Insurance,16244222,1093,2005,Male,Rhode Island,14862.05
123,375,Some College,Finance and Insurance,38674273,2024,2005,Male,Rhode Island,19107.84
124,376,Advanced Degree,Finance and Insurance,175010995,5259,2005,Male,Rhode Island,33278.38
125,377,Unavalble,Finance and Insurance,5589762,748,2005,Male,Rhode Island,7472.94
126,378,All Education Categories,Finance and Insurance,175838904,15931,2005,Female,Rhode Island,11037.53
127,379,Less Than High School,Finance and Insurance,2866122,448,2005,Female,Rhode Island,6397.59
128,380,High School Gradute,Finance and Insurance,22216905,2799,2005,Female,Rhode Island,7937.44
129,381,Some College,Finance and Insurance,41874782,4410,2005,Female,Rhode Island,9495.42
130,382,Advanced Degree,Finance and Insurance,100440990,6803,2005,Female,Rhode Island,14764.22
131,383,Unavalble,Finance and Insurance,8440104,1470,2005,Female,Rhode Island,5741.57
132,432,All Education Categories,Educational Services,246562292,21156,2005,Male,Rhode Island,11654.49
133,433,Less Than High School,Educational Services,6748154,844,2005,Male,Rhode Island,7995.44
134,434,High School Gradute,Educational Services,34953479,3509,2005,Male,Rhode Island,9961.09
135,435,Some College,Educational Services,60348201,5242,2005,Male,Rhode Island,11512.44
136,436,Advanced Degree,Educational Services,139774013,9915,2005,Male,Rhode Island,14097.23
137,437,Unavalble,Educational Services,4738445,1646,2005,Male,Rhode Island,2878.76
138,438,All Education Categories,Educational Services,309171498,32224,2005,Female,Rhode Island,9594.45
139,439,Less Than High School,Educational Services,5351846,997,2005,Female,Rhode Island,5367.95
